# Document parsed from: List_of_Business_Partners.xlsx

## Page 1

|#|BP Code|DSL Code|Old SAP Code|Group|District|BP Name|Tem Suspended|BP Type|Contact Person|Other Name|Price List|Route Code|Town|Adress|Federal Tax ID|
|106|ELCA10106|C07002|C07002|100|Colombo|J.D JAMES APPUHAMY & SON|N|C|MR.K.S.JAYASINGHE||Wholesale Price|R03 - Piliyandala|Colombo 07|||
|107|ELCA10107|C08004|C08004|100|Colombo|ACL CABLES PLC|N|C|MR. SUREN MADANAYAKE (MD)||Wholesale Price|R03 - Piliyandala|Thimbirigasyaya|||
|108|ELCA10108|C08006|C08006|100|Colombo|GOODWILL MO-BIKE CENTER|N|C|MR. S. DHANTHANATAYANA||Wholesale Price|R03 - Piliyandala|Thimbirigasyaya|||
|109|ELCA10109|C10009|C10009|100|Colombo|NEW LIBERTY MOTORS (PVT)LTD.|N|C|MR.SANATH||Wholesale Price|R01 - Colombo|Colombo 10|||
|110|ELCA10110|C10037|C10037|100|Colombo|CARTECH AUTO MOBILE (PVT) LTD|Y|C|MR.T.DARMENDA||Wholesale Price|R01 - Colombo|Colombo 10|||
|111|ELCA10111|C10008|C10112|100|Colombo|RUHUNU MOTORS.|N|C|MR.NANAYAKKARA||Wholesale Price|R01 - Colombo|Colombo 10|||
|112|ELCA10112|C10113|C10113|100|Colombo|ABS TRADING COMPANY|N|C|MR. H.NELSON VISHWAJITH SILVA||Wholesale Price|R01 - Colombo|Colombo 10|||
|113|ELCA10113|C10114|C10114|100|Colombo|ACE MOTORS|N|C|||Wholesale Price|R01 - Colombo|Colombo 10|||
|114|ELCA10114|C10120|C10120|100|Colombo|DE FONSEKA TRADERS LTD|N|C|MR. MR.JOE NANAYAKKARA||Wholesale Price|R01 - Colombo|Colombo 10||104033342-7000|
|115|ELCA10115|C10121|C10121|100|Colombo|GALLENT HOUSE|N|C|MR. JAYANTHA PANDITHASEKERA||Wholesale Price|R01 - Colombo|Colombo 10||560691360 7000|
|116|ELCA10116|C10124|C10124|100|Colombo|JAYASEKARA MOTORS PVT LTD|N|C|MR. M.A. JAYASEKARA||Wholesale Price|R01 - Colombo|Colombo 10|||
|117|ELCA10117|C10126|C10126|100|Colombo|L M PERERA & COMPANY|N|C|MR. L.M. PERERA||Wholesale Price|R01 - Colombo|Colombo 10|||
|118|ELCA10118|C10127|C10127|100|Colombo|LAKSHMAN CONSOLIDATED CO PVT L|N|C|MR. CHAMATH KOTTAGE||Wholesale Price|R01 - Colombo|Colombo 10|||
|119|ELCA10119|C10129|C10129|100|Colombo|LEYLAND MOTOR TRA. PVT LTD|N|C|MR. EASTER SANTIYAGO||Wholesale Price|R01 - Colombo|Colombo 10||114264091-7000|
|120|ELCA10120|C10134|C10134|100|Colombo|PRIYANTHA MOTORS STORES|N|C|MR. R.A.B. PRIYANTHA||Wholesale Price|R01 - Colombo|Colombo 10|||
|121|ELCA10121|C10142|C10142|100|Colombo|LANKA MOTOR STORES (PVT) LTD|N|C|||Wholesale Price|R01 - Colombo|Colombo 10|||
|122|ELCA10122|C10143|C10143|100|Colombo|Sumana Motor Stores - COL 10|N|C|||Wholesale Price|R01 - Colombo|Colombo 10|||
|123|ELCA10123|C10144|C10144|100|Colombo|MInistry of Transport|N|C|||Wholesale Price|R01 - Colombo|Colombo 10|||
|124|ELCA10124|C10145|C10145|100|Colombo|SAMITH ENTREPRISES|Y|C|L.P.D. KARUNARATHNE||Wholesale Price|R01 - Colombo|Colombo 10|||
|125|ELCA10125|C10150|C10189|100|Colombo|NEW SENASUMA MOTORS|Y|C|MR.SUNIL NAYANANANDA||Wholesale Price|R01 - Colombo|Colombo 10|||
|126|ELCA10126|C10153|C10213|100|Colombo|N.P MOTOR TRADERS|N|C|C10213||Wholesale Price|R01 - Colombo|Colombo 10|||
|127|ELCA10127|C10005|C10286|100|Colombo|M.SENEVIRATHNE (PVT) LTD|N|C|MR.SENEVIRATHNA||Wholesale Price|R01 - Colombo|Colombo 10|||
|128|ELCA10128|C10139|C10310|100|Colombo|VIKUM MOTORS|N|C|MR. RANMUTHU JEEWANI||Wholesale Price|R01 - Colombo|Colombo 10|||
|129|ELCA10129|C10069|C10313|100|Colombo|ISURU MOTOR STORES|N|C|MR.PRASANNA||Wholesale Price|R01 - Colombo|Colombo 10|||
|130|ELCA10130|C10019|C10318|100|Colombo|T.D.SIRISENA & CO.(PVT)LTD.|N|C|MR.DANUKA||Wholesale Price|R01 - Colombo|Colombo 10||114054160-7000|
|131|ELCA10131|C10024|C10327|100|Colombo|SAKURA AGENCIES|N|C|MR.PERIYASAMI||Wholesale Price|R01 - Colombo|Colombo 10|||
|132|ELCA10132|C10004|C10336|100|Colombo|WALPOLA MOTORS(PVT)LTD.|N|C|L.WALPOLA.||Wholesale Price|R01 - Colombo|Colombo 10|||
|133|ELCA10133|C10149|C10345|100|Colombo|PREMARATHNA & COMPANY|N|C|MR.JANAKA PREMARATHNA||Wholesale Price|R01 - Colombo|Colombo 10|||
|134|ELCA10134|C10021|C10346|100|Colombo|JAYANATH MOTOR SUPPLIES.|Y|C|MR.JAYANATH||Wholesale Price|R01 - Colombo|Colombo 10|||
|135|ELCA10135|C10035|C10347|100|Colombo|BANDULA TRADING COMPANY|N|C|MR.BANDULASENA||Wholesale Price|R01 - Colombo|Colombo 10||174879818-7000|
|136|ELCA10136|C10041|C10351|100|Colombo|VARSHA MOTORS|N|C|MR.S JAYASEKARAN||Wholesale Price|R01 - Colombo|Colombo 10|||
|137|ELCA10137|C10044|C10358|100|Gampaha|HELANS MOTOR SPARES|N|C|MR.KUMARA||Wholesale Price|R02 - Nugegoda|Kelaniya||740884174-7000|
|138|ELCA10138|C10148|C10390|100|Colombo|NISHANTHA MOTOR WORKS|N|C|MR.G NISHANTHA DABARE||Wholesale Price|R01 - Colombo|Colombo 10|||
|139|ELCA10139|C10151|C10407|100|Colombo|SURANGA ELECTRICALS|N|C|MR.M.A.S PRASAD||Wholesale Price|R01 - Colombo|Colombo 10|||
|140|ELCA10140|C11002|C11002|100|Colombo|CTB PETTAH|N|C|||Wholesale Price|R01 - Colombo|Colombo 10||409006671-7000|
|141|ELCA10141|C11003|C11003|100|Colombo|S.L.T.B CENTRAL BUS DEPOT|N|C|||Wholesale Price|R03 - Piliyandala|Thimbirigasyaya||409006671-7000|
|142|ELCA10142|C12001|C12012|100|Colombo|THE CITY AGENCY|Y|C|||Wholesale Price|R03 - Piliyandala|Thimbirigasyaya|||
|143|ELCA10143|C13004|C13004|100|Colombo|G.MUTHUMALA M/STORES COL P LTD|N|C|MR. MUTHUMALA||Wholesale Price|R01 - Colombo|Colombo 13||114450669-7000|
|144|ELCA10144|C13005|C13005|100|Colombo|MUTHUMALA TRANSPORT SERVISE|N|C|MR. ASHOKA MUTHUMALA||Wholesale Price|R01 - Colombo|Colombo 13|||
|145|ELCA10145|C13006|C13006|100|Colombo|VISKAM BROTHERS(PVT)LTD|N|C|MR. SANJEEWA PIYADASA||Wholesale Price|R01 - Colombo|Colombo 13|||
|146|ELCA10146|C14032|C140032|100|Colombo|SENOK COMM. VEHICLE PVT LTD|N|C|||Wholesale Price|R03 - Piliyandala|Thimbirigasyaya||104059660-7000|
|147|ELCA10147|C14013|C14013|100||GANGANI AUTO ELECTRICAL|N|C|MR.JAYALATH||Wholesale Price||||104059660-7000|
|148|ELCA10148|C14024|C14024|100|Colombo|AVINDA ENTERPRISES (PVT) LTD.|N|C|MR. GAMINI HETTIARACHCHE||Wholesale Price|R01 - Colombo|Colombo 14|||
|149|ELCA10149|C14026|C14026|100|Colombo|EDIRISINGHI BROTHERS LTD|N|C|MR. GAMINI EDIRISIGHI||Wholesale Price|R01 - Colombo|Colombo 14|||
|150|ELCA10150|C14028|C14028|100|Colombo|K C HEAVY EQUIPMENT (PVT) LTD|N|C|||Wholesale Price|R01 - Colombo|Colombo 14|||
|151|ELCA10151|C14012|C14032|100|Colombo|SUNBEAM ENG.& OVERSEAS TRADES,"|N|C|MR.THISARAJEEWA||Wholesale Price|R01 - Colombo|Colombo 14||409011616-7000|
|152|ELCA10152|C14002|C14033|100|Colombo|INTEROCEAN LAKSHMAN TRADERS|N|C|MR.LAKSHMAN||Wholesale Price|R01 - Colombo|Colombo 14|||
|153|ELCA10153|C14006|C14034|100|Colombo|SANJEEWA AUTO MOBILE LANKA PVT LTD|N|C|||Wholesale Price|R01 - Colombo|Colombo 14||114779393-7000|
|154|ELCA10154|C14019|C14036|100|Colombo|RANJITH MOTORS (PVT) LTD|N|C|MR. PANAPITIYA||Wholesale Price|R01 - Colombo|Colombo 14|||
|155|ELCA10155|C14004|C14038|100|Colombo|HEMALEE MOTOR COMPANY (PVT)LTD|Y|C|MR.SAMAN||Wholesale Price|R01 - Colombo|Colombo 14|||
|156|ELCA10156|C14001|C14039|100|Colombo|ABAYA & COM.IMP.& EXP.PVT)LTD|N|C|MR.GAYAN||Wholesale Price|R01 - Colombo|Colombo 14|||
|157|ELCA10157|C14009|C14046|100|Colombo|SANDARU AUTO ENTERPRISES|Y|C|MR.SAMARASINGHE.||Wholesale Price|R01 - Colombo|Colombo 14|||
|158|ELCA10158|C14020|C14047|100|Colombo|SAMAN MOTOR TRADERS|N|C|MR.I.S.THILAKASIRI||Wholesale Price|R01 - Colombo|Colombo 14|||
|159|ELCA10159|C14033|C14049|100|Colombo|ANURA TRADING HOUSE|N|C|MR. MR.K.A.ARUNA SARATH KUMARA||Wholesale Price|R01 - Colombo|Colombo 14||580853978-7000|
|160|ELCA10160|C14021|C14051|100|Colombo|DIESEL & MOTOR ENGINEERING PLC|N|C|||Wholesale Price|R01 - Colombo|Colombo 14|||
|161|ELCA10161|C14030|C14053|100|Colombo|RAVINDRA MOTOR STORES|N|C|MR. RAVINDRA KARUNASEKERA||Wholesale Price|R01 - Colombo|Colombo 14||730084196-7000|
|162|ELCA10162|C14029|C14054|100|Colombo|LLOYDS AUTO MART (PVT ) LTD|N|C|MR. W\.K.A. LEBBE||Wholesale Price|R01 - Colombo|Colombo 14||100921510-7000|
